message_id,date,sender,category,period,subject,body,word_count
ENRON_0704,2000-01-19,ray.bowen@enron.com,operations,pre_crisis,the new trading system — progress report,The the cost reduction initiative is progressing faster than expected. We have reduced operating costs by $38m since our last update. There are three areas where we could improve: staff training and communication. I believe we will should achieve our targets if market conditions remain stable. This initiative is not without risk — the technology may not scale as expected. We should not underestimate the regulatory of what we are trying to accomplish.,73
ENRON_0078,2000-01-19,jeff.richter@enron.com,trading,pre_crisis,market update,gas is volatile. I genuinely think we should sell before Thursday. not a lot of time.,16
ENRON_0002,2000-01-19,david.delainey@enron.com,trading,pre_crisis,market update,Midwest power is volatile. I still think we should unwind part of the book before Thursday. not a lot of time.,21
ENRON_0777,2000-01-19,david.oxley@enron.com,operations,pre_crisis,the pipeline optimisation programme — progress report,The the European market entry is progressing faster than expected. We have signed 389 new contracts since our last update. There are one areas where we could improve: cost management and cost management. I believe we will should achieve our targets if we can attract the talent we need. This initiative is not without risk — we may underestimate the capital required. We should not underestimate the technical of what we are trying to accomplish.,75
ENRON_0576,2000-01-19,richard.causey@enron.com,executive,pre_crisis,Third quarter performance — summary,"Our Third quarter results reflect strong performance across all business units. Revenue was disappointing at $33.8 billion. Our wholesale energy business experienced significant write-downs. We may see continued headwinds in the coming quarter, but we are not overconfident. I want to assure you that we are not hiding any material issues. The company will continue to pursue its strategy of simplifying our portfolio and reducing complexity while maintaining appropriate risk controls.",71
ENRON_0431,2000-01-19,teb.lokey@enron.com,risk,pre_crisis,Risk management quarterly summary,"This quarter our aggregate value at risk remained broadly stable relative to the prior period, reflecting increased volatility. Credit losses were modest but noteworthy — within our risk appetite.. We identified no instances where position limits were exceeded and remedied promptly. Looking ahead, we will face increased credit stress in the next quarter. I strongly recommend we increase our monitoring frequency for California utility counterparties. The board risk committee will receive this report at their next meeting.",77
ENRON_0495,2000-01-19,george.mcclellan@enron.com,risk,pre_crisis,Stress test results — moderate scenario,"Under our moderate downside scenario, our liquidity position would not support operations beyond 60 days. The primary driver of stress is a sharp commodity price decline. We do not currently have sufficient credit facilities to meet all obligations under this scenario. I want to be clear that I do not believe this scenario is likely — the probability is approximately not greater than 2%. However, the consequences are serious enough that management needs to act now. I recommend we strengthen our credit facilities as a precautionary measure.",87
ENRON_0315,2000-01-19,phillip.allen@enron.com,trading,pre_crisis,RE: crude oil strategy,"I agree with your assessment that the California power presents significant opportunities. However, I am not entirely comfortable with our current position size. We should be overexposed if prices move sharply. I would recommend we maintain our current position but do not increase it further until we see further data. The credit team should review our counterparty exposure before we commit additional capital. Please come back to me with an updated risk analysis.",73
ENRON_0123,2000-01-19,bob.shively@enron.com,trading,pre_crisis,market update,FYI the nat gas is pricing in a risk premium. I am not happy about our short book right now.,20
ENRON_0694,2000-01-19,stanley.horton@enron.com,operations,pre_crisis,the European market entry — progress report,The the pipeline optimisation programme is progressing well despite initial challenges. We have hired 74 additional staff since our last update. There are one areas where we could improve: technology performance and communication. I believe we will may achieve our targets if we receive the regulatory approvals on time. This initiative is not without risk — the technology may not scale as expected. We should not underestimate the regulatory of what we are trying to accomplish.,76
ENRON_0453,2000-01-19,mark.lay@enron.com,risk,pre_crisis,Credit exposure report — California utility,"This report summarises our current credit exposure to California utility counterparties. Our aggregate exposure has declined to approximately $560 million since the last review. We could need to increase monitoring if they fail to post margin on time. Our models suggest the probability of a material credit loss is difficult to estimate given current conditions, but I am reasonably comfortable with that estimate given the current regulatory environment. I recommend we convene a risk committee meeting before the next risk committee meeting. I will circulate a more detailed analysis by end of week.",93
ENRON_0267,2000-01-19,tim.belden@enron.com,trading,pre_crisis,RE: crude oil strategy,"I agree with your assessment that the nat gas presents attractive risk-adjusted opportunities. However, I am not entirely comfortable with our current position size. We should be overexposed if a counterparty fails. I would recommend we maintain our current position but do not increase it further until we see the storage report. The credit team should review our counterparty exposure before we commit additional capital. Please come back to me with an updated risk analysis.",75
ENRON_0661,2000-01-19,stanley.horton@enron.com,operations,pre_crisis,the cost reduction initiative — progress report,The the pipeline optimisation programme is progressing broadly on track. We have hired 74 additional staff since our last update. There are several areas where we could improve: technology performance and staff training. I believe we will may achieve our targets if management maintains its commitment. This initiative is not without risk — integration complexity could delay our timeline. We should not underestimate the organisational of what we are trying to accomplish.,72
ENRON_0510,2000-01-26,anne.kishimoto@enron.com,executive,pre_crisis,Update on the restatement of our financial results,"I am writing to provide an update on the SEC inquiry. Our financial position has deteriorated significantly in recent months. We could face further write-downs if the SEC expands its inquiry, but management believes this risk is serious but not existential. We will not allow accounting questions to undermine our commitment to financial transparency. The board has been informed and is supportive of the steps we are taking. I am confident — though I cannot guarantee — that we will resolve these issues satisfactorily. Please do not hesitate to contact me if you have further concerns.",96
ENRON_0481,2000-01-26,sally.beck@enron.com,risk,pre_crisis,Credit exposure report — investment bank,"This report summarises our current credit exposure to merchant energy counterparties. Our aggregate exposure has increased materially to approximately $560 million since the last review. We could need to require additional collateral if counterparty stress increases. Our models suggest the probability of a material credit loss is low at approximately 5%, but I am reasonably comfortable with that estimate given recent market developments. I recommend we stress test our positions before the next risk committee meeting. I will circulate a more detailed analysis by end of week.",87
ENRON_0052,2000-01-26,eric.bass@enron.com,trading,pre_crisis,market update,electricity is not behaving as our models predicted. I now think we should flatten our position before next week. not a lot of time.,24
ENRON_0003,2000-01-26,jeff.richter@enron.com,trading,pre_crisis,market update,bandwidth is thin. I still think we should sell before end of day. not a lot of time.,18
ENRON_0662,2000-01-26,stanley.horton@enron.com,operations,pre_crisis,Operations update — IT systems,"I wanted to provide a brief update on our pipeline operations this period. We came within 5% of our volume targets by 3%. The primary driver was the new technology platform. We should continue investing in the coming weeks to deliver on our commitments. I do not anticipate any major operational disruptions, but market conditions could change rapidly. I will circulate a more detailed report at the end of the period.",71
ENRON_0161,2000-01-26,louise.kitchen@enron.com,trading,pre_crisis,market update,I am not going to pretend I am comfortable with our gas futures exposure right now.,16
ENRON_0401,2000-01-26,george.mcclellan@enron.com,risk,pre_crisis,Risk management quarterly summary,"This quarter our aggregate value at risk declined slightly relative to the prior period, reflecting new positions in the gas market. Credit losses were below budget — within acceptable parameters.. We identified two instances where position limits were technically breached but within spirit of the policy. Looking ahead, we may face regulatory attention to our trading practices in the next quarter. I genuinely recommend we increase our monitoring frequency for counterparties below investment grade. The board risk committee will receive this report at their next meeting.",86
ENRON_0134,2000-01-26,jeff.richter@enron.com,trading,pre_crisis,market update,I am not going to pretend I am comfortable with our spark spread options exposure right now.,17
ENRON_0184,2000-02-05,eric.bass@enron.com,trading,pre_crisis,market update,short note: weather sold off today. this is good news.. will update later.,13
ENRON_0272,2000-02-05,jeff.richter@enron.com,trading,pre_crisis,Position update — gas basis swaps,"Following the regulatory announcement in the power market, our current electricity forwards position is illiquid. We should face basis risk if storage data disappoints. I strongly recommend we review our risk limits before today. The risk team has confirmed that our VAR is elevated but acceptable under current market conditions. Please advise if you want to discuss further before I take action.",62
ENRON_0179,2000-02-05,eric.bass@enron.com,trading,pre_crisis,market update,short note: bandwidth rallied today. better than expected.. will update later.,11
ENRON_0445,2000-02-05,sally.beck@enron.com,risk,pre_crisis,Risk management quarterly summary,"This quarter our aggregate value at risk increased sharply due to market volatility relative to the prior period, reflecting improved hedging effectiveness. Credit losses were below budget — better than anticipated.. We identified one instances where position limits were exceeded and remedied promptly. Looking ahead, we will face rating agency scrutiny in the next quarter. I genuinely recommend we increase our monitoring frequency for our largest exposures. The board risk committee will receive this report at their next meeting.",79
ENRON_0357,2000-02-05,mark.haedicke@enron.com,risk,pre_crisis,Stress test results — severe scenario,"Under our severe downside scenario, our liquidity position would be severely constrained within 30 days. The primary driver of stress is a material credit rating downgrade. We do not currently have sufficient credit facilities to meet all obligations under this scenario. I want to be clear that I do not believe this scenario is likely — the probability is approximately low at approximately 5%. However, the consequences are serious enough that management should treat this seriously. I recommend we reduce our largest single-counterparty exposures as a precautionary measure.",88
ENRON_0158,2000-02-05,david.delainey@enron.com,trading,pre_crisis,market update,short note: spark spread options sold off today. could be a problem.. will update later.,15
ENRON_0839,2000-02-05,investor.relations@enron.com,all_staff,pre_crisis,RE: Company update,I appreciate the update but I think many employees are increasingly anxious about the current situation. The stock has dropped sharply despite management reassurances and we are reading conflicting information every day. I am not trying to cause trouble — I just want an honest answer about whether our retirement savings are at risk. We should not be expected to perform at our best without proper information. Many of us have significant Enron stock in our retirement accounts. This is not just a business issue — it affects our families and our futures.,93
ENRON_0469,2000-02-05,mark.haedicke@enron.com,risk,pre_crisis,Stress test results — catastrophic scenario,"Under our catastrophic downside scenario, our liquidity position would not support operations beyond 60 days. The primary driver of stress is a liquidity crisis in the energy sector. We do not currently have the cash to meet all obligations under this scenario. I want to be clear that I do not believe this scenario is likely — the probability is approximately low at approximately 5%. However, the consequences are serious enough that management needs to act now. I recommend we develop a detailed contingency plan as a precautionary measure.",89
ENRON_0260,2000-02-05,louise.kitchen@enron.com,trading,pre_crisis,Q3 natural gas trading review,"Our bandwidth trading desk generated revenues of approximately $340 million in the third quarter. This represents broadly in line with expectations relative to the prior period. The primary driver was improved market liquidity. We could see continued strength in the coming months, depending on interest rate movements. I am modestly optimistic about the second half of the year. Risk-adjusted returns were above target and we did not exceed our risk limits.",71
ENRON_0356,2000-02-12,mark.lay@enron.com,risk,pre_crisis,Risk management quarterly summary,"This quarter our aggregate value at risk increased sharply due to market volatility relative to the prior period, reflecting the California market disruption. Credit losses were minimal at approximately $8 million — driven by one counterparty default.. We identified four instances where position limits were exceeded and remedied promptly. Looking ahead, we should face increased credit stress in the next quarter. I cautiously recommend we increase our monitoring frequency for counterparties below investment grade. The board risk committee will receive this report at their next meeting.",86
ENRON_0336,2000-02-12,kevin.hyatt@enron.com,trading,pre_crisis,Position update — natural gas,"Following the California crisis in the Midwest power market, our current gas futures position is pricing in a risk premium. We could face model risk if a key counterparty defaults. I strongly recommend we wait for more clarity before today. The risk team has confirmed that our VAR is at the top of our range under current market conditions. Please advise if you want to discuss further before I take action.",71
ENRON_0544,2000-02-12,ben.glisan@enron.com,executive,pre_crisis,Update on our credit rating review,"I am writing to provide an update on the SEC inquiry. Our financial position remains strong despite the current challenges. We will face significant liquidity pressure if the Dynegy deal falls through, but management believes this risk is manageable. We will not allow regulatory scrutiny to undermine our commitment to financial transparency. The board has been informed and is supportive of the steps we are taking. I am confident — though I cannot guarantee — that we will resolve these issues satisfactorily. Please do not hesitate to contact me if you have further concerns.",94
ENRON_0913,2000-02-12,compliance@enron.com,all_staff,pre_crisis,Benefits and HR: compliance reminder,Please be aware that there will be a change to our expense policy. This applies to employees in US-based employees. If you have questions please contact the benefits team. The deadline for completing the training is October 15. We will not be able to process late submissions after this date. Thank you for your prompt attention to this matter.,59
ENRON_0283,2000-02-12,hunter.shively@enron.com,trading,pre_crisis,RE: electricity forwards strategy,"I agree with your assessment that the bandwidth presents interesting opportunities. However, I am not entirely comfortable with our current position size. We may be overexposed if credit conditions tighten. I would recommend we maintain our current position but do not increase it further until we see the storage report. The credit team should review our counterparty exposure before we commit additional capital. Please come back to me with an updated risk analysis.",73
ENRON_0140,2000-02-12,louise.kitchen@enron.com,trading,pre_crisis,market update,prices moved sharply today. may be a good opportunity to unwind part of the book. call me.,17
ENRON_0690,2000-02-19,stanley.horton@enron.com,operations,pre_crisis,Operations update — human resources,"I wanted to provide a brief update on our broadband services operations this quarter. We slightly missed our volume targets by 5%. The primary driver was strong customer demand. We should continue investing in the coming weeks to protect our market position. I do not anticipate any major operational disruptions, but we do not have unlimited capital to invest. I will circulate a more detailed report at the end of the quarter.",72
ENRON_0790,2000-02-19,larry.izzo@enron.com,operations,pre_crisis,Operations update — pipeline,"I wanted to provide a brief update on our human resources operations this year. We fell short of our volume targets by 5%. The primary driver was efficient operational execution. We should continue investing in the coming quarter to protect our market position. I do not anticipate any major operational disruptions, but we should monitor our credit exposure closely. I will circulate a more detailed report at the end of the year.",72
ENRON_0548,2000-02-19,mark.palmer@enron.com,executive,pre_crisis,Update on our off-balance-sheet vehicles,"I am writing to provide an update on the third quarter write-downs. Our financial position remains strong despite the current challenges. We should face significant liquidity pressure if counterparties withdraw credit, but management believes this risk is serious but not existential. We will not allow press speculation to undermine our commitment to the company's future. The board has been informed and is supportive of the steps we are taking. I am confident — though I cannot guarantee — that we will resolve these issues satisfactorily. Please do not hesitate to contact me if you have further concerns.",97
ENRON_0584,2000-02-19,anne.kishimoto@enron.com,executive,pre_crisis,Update on our credit rating review,"I am writing to provide an update on the SEC inquiry. Our financial position is more complex than previously disclosed. We could face further write-downs if the Dynegy deal falls through, but management believes this risk is serious but not existential. We will not allow accounting questions to undermine our commitment to shareholder value. The board has been informed and is supportive of the steps we are taking. I am confident — though I cannot guarantee — that we will resolve these issues satisfactorily. Please do not hesitate to contact me if you have further concerns.",96
ENRON_0781,2000-02-19,joe.hirko@enron.com,operations,pre_crisis,the broadband rollout — progress report,The the cost reduction initiative is progressing ahead of schedule. We have completed the first phase since our last update. There are three areas where we could improve: cost management and communication. I believe we will could achieve our targets if management maintains its commitment. This initiative is not without risk — staff retention is proving challenging. We should not underestimate the commercial of what we are trying to accomplish.,70
ENRON_0386,2000-02-19,mark.lay@enron.com,risk,pre_crisis,Credit exposure report — retail energy,"This report summarises our current credit exposure to industrial counterparties. Our aggregate exposure has increased materially to approximately $840 million since the last review. We should need to require additional collateral if counterparty stress increases. Our models suggest the probability of a material credit loss is meaningful at 8-12%, but I am cautiously comfortable with that estimate given the limited historical data for this type of event. I recommend we convene a risk committee meeting before the next risk committee meeting. I will circulate a more detailed analysis by end of week.",92
ENRON_0383,2000-02-19,david.haug@enron.com,risk,pre_crisis,Stress test results — stress scenario,"Under our stress downside scenario, our liquidity position would be under pressure. The primary driver of stress is a sharp commodity price decline. We do not currently have the liquidity to meet all obligations under this scenario. I want to be clear that I do not believe this scenario is likely — the probability is approximately difficult to estimate given current conditions. However, the consequences are serious enough that management should treat this seriously. I recommend we accelerate non-core asset sales as a precautionary measure.",85
ENRON_0916,2000-02-19,investor.relations@enron.com,all_staff,pre_crisis,RE: Company update,I appreciate the update but I think many employees are increasingly anxious about the current situation. The stock has dropped sharply despite management reassurances and we are reading troubling reports about our accounting every day. I am not trying to cause trouble — I just want an honest answer about what the real financial position is. We should not be expected to continue to invest in Enron stock without proper information. Many of us have significant Enron stock in our retirement accounts. This is not just a business issue — it affects our families and our futures.,97
ENRON_0499,2000-02-19,kevin.presto@enron.com,risk,pre_crisis,Risk management quarterly summary,"This quarter our aggregate value at risk increased materially relative to the prior period, reflecting increased volatility. Credit losses were modest but noteworthy — within our risk appetite.. We identified four instances where position limits were exceeded during intra-day trading. Looking ahead, we will face rating agency scrutiny in the next quarter. I strongly recommend we increase our monitoring frequency for California utility counterparties. The board risk committee will receive this report at their next meeting.",76
ENRON_0329,2000-02-19,john.arnold@enron.com,trading,pre_crisis,Q3 power trading review,"Our spark spread options trading desk generated revenues of approximately $85 million in the third quarter. This represents slightly below target relative to the prior period. The primary driver was improved market liquidity. We could see increased volatility in the coming months, depending on regulatory developments. I am cautiously optimistic about the second half of the year. Risk-adjusted returns were in line with targets and we did not exceed our risk limits.",72
ENRON_0925,2000-02-19,legal@enron.com,all_staff,pre_crisis,All staff: Year-end message,I am pleased to share with you a record quarter. This reflects the hard work and commitment of every person in this organisation. We will continue to invest in our people and we will not be distracted by questions about our accounting. The outlook for the second half is encouraging. Thank you for your continued dedication to Enron's mission.,59
ENRON_0194,2000-02-26,phillip.allen@enron.com,trading,pre_crisis,market update,FYI the gas is not behaving as our models predicted. I am not optimistic about our short book right now.,20
ENRON_0615,2000-02-26,mark.palmer@enron.com,executive,pre_crisis,Second quarter performance — summary,"Our Second quarter results reflect mixed results requiring explanation across all business units. Revenue was above expectations at $50.1 billion. Our wholesale energy business experienced significant write-downs. We may see a challenging regulatory environment in the coming quarter, but we are not complacent. I want to assure you that we are not hiding any material issues. The company will continue to pursue its strategy of simplifying our portfolio and reducing complexity while maintaining appropriate risk controls.",76
ENRON_0744,2000-02-26,james.derrick@enron.com,operations,pre_crisis,Operations update — corporate services,"I wanted to provide a brief update on our retail energy operations this period. We came within 5% of our volume targets by 5%. The primary driver was efficient operational execution. We should maintain our current trajectory in the coming months to maintain momentum. I do not anticipate any major operational disruptions, but we do not have unlimited capital to invest. I will circulate a more detailed report at the end of the period.",74
ENRON_0051,2000-02-26,matt.motley@enron.com,trading,pre_crisis,market update,I am not going to pretend I am comfortable with our power exposure right now.,15
ENRON_0217,2000-02-26,mike.grigsby@enron.com,trading,pre_crisis,Position update — crude oil,"Following the credit concerns in the California power market, our current gas futures position is not behaving as our models predicted. We will face model risk if prices move against us. I strongly recommend we reduce our exposure before next Monday. The risk team has confirmed that our VAR is at the top of our range under current market conditions. Please advise if you want to discuss further before I take action.",72
ENRON_0966,2000-02-26,corporate.communications@enron.com,all_staff,pre_crisis,All staff: Company performance update,I am pleased to share with you a record quarter. This reflects the hard work and commitment of every person in this organisation. We will continue to pursue the best opportunities and we will not be distracted by the current uncertainty. The outlook for the years ahead is requiring careful management. Thank you for your continued dedication to Enron's mission.,60
ENRON_0685,2000-02-26,ray.bowen@enron.com,operations,pre_crisis,the new trading system — progress report,The the cost reduction initiative is progressing more slowly than we had hoped. We have completed the first phase since our last update. There are several areas where we could improve: customer onboarding and cost management. I believe we will may achieve our targets if the technology performs as specified. This initiative is not without risk — the technology may not scale as expected. We should not underestimate the regulatory of what we are trying to accomplish.,77
ENRON_0524,2000-02-26,ben.glisan@enron.com,executive,pre_crisis,Update on our off-balance-sheet vehicles,"I am writing to provide an update on the FERC investigation. Our financial position remains strong despite the current challenges. We will face investor confidence issues if the rating agencies downgrade us, but management believes this risk is manageable. We will not allow regulatory scrutiny to undermine our commitment to financial transparency. The board has been informed and is supportive of the steps we are taking. I am confident — though I cannot guarantee — that we will resolve these issues satisfactorily. Please do not hesitate to contact me if you have further concerns.",94
ENRON_0334,2000-02-26,john.arnold@enron.com,trading,pre_crisis,RE: bandwidth strategy,"I agree with your assessment that the gas presents unusual opportunities. However, I am not entirely comfortable with our current position size. We will be overexposed if credit conditions tighten. I would recommend we maintain our current position but do not increase it further until we see clarity on regulation. The credit team should review our counterparty exposure before we commit additional capital. Please come back to me with an updated risk analysis.",73
ENRON_0470,2000-02-26,ted.robinson@enron.com,risk,pre_crisis,Risk management quarterly summary,"This quarter our aggregate value at risk declined slightly relative to the prior period, reflecting the California market disruption. Credit losses were within our historical range — slightly above our internal benchmark.. We identified no instances where position limits were exceeded and remedied promptly. Looking ahead, we will face rating agency scrutiny in the next quarter. I cautiously recommend we increase our monitoring frequency for our largest exposures. The board risk committee will receive this report at their next meeting.",80
ENRON_0433,2000-03-05,teb.lokey@enron.com,risk,pre_crisis,Credit exposure report — industrial,"This report summarises our current credit exposure to merchant energy counterparties. Our aggregate exposure has declined to approximately $1.2 billion since the last review. We could need to increase monitoring if they fail to post margin on time. Our models suggest the probability of a material credit loss is elevated at approximately 15%, but I am not fully comfortable with that estimate given model uncertainty. I recommend we prepare contingency plans before the next risk committee meeting. I will circulate a more detailed analysis by end of week.",88
ENRON_0299,2000-03-05,louise.kitchen@enron.com,trading,pre_crisis,Q3 weather trading review,"Our electricity forwards trading desk generated revenues of approximately $280 million in the third quarter. This represents broadly in line with expectations relative to the prior period. The primary driver was effective hedging of our physical book. We will see some softness in the coming months, depending on interest rate movements. I am fairly optimistic about the second half of the year. Risk-adjusted returns were slightly below expectations and we did not breach any compliance requirements.",76
ENRON_0883,2000-03-05,hr@enron.com,all_staff,pre_crisis,Benefits and HR: office closure,Please be aware that the office will be closed for maintenance. This is relevant to employees in US-based employees. If you have questions please contact HR directly. The deadline for completing the training is this Friday. We will not be able to process your request after this date. Thank you for your prompt attention to this matter.,57
ENRON_0512,2000-03-05,jim.derrick@enron.com,executive,pre_crisis,Update on the FERC investigation,"I am writing to provide an update on the third quarter write-downs. Our financial position is more complex than previously disclosed. We would face significant liquidity pressure if the SEC expands its inquiry, but management believes this risk is more significant than we had hoped. We will not allow investor uncertainty to undermine our commitment to financial transparency. The board has been informed and is supportive of the steps we are taking. I am confident — though I cannot guarantee — that we will resolve these issues satisfactorily. Please do not hesitate to contact me if you have further concerns.",100
ENRON_0364,2000-03-05,carol.coale@enron.com,risk,pre_crisis,Credit exposure report — merchant energy,"This report summarises our current credit exposure to investment bank counterparties. Our aggregate exposure has remained stable to approximately $840 million since the last review. We may need to convene an emergency credit review if our own credit is questioned. Our models suggest the probability of a material credit loss is not greater than 2%, but I am not entirely comfortable with that estimate given our limited visibility into counterparty financials. I recommend we prepare contingency plans before the next risk committee meeting. I will circulate a more detailed analysis by end of week.",94
ENRON_0005,2000-03-05,john.arnold@enron.com,trading,pre_crisis,market update,FYI the electricity is pricing in a risk premium. I am not certain about our long position right now.,19
